folio,caja,usuario,dia,fecha,dia_semana,cantidad,producto,importe,valor,utilidad
12,Caja 1,admin,0,2024-02-21,Wednesday,4.0,Vaso Individual del #8 1pza,4.0,1.6,2.4
13,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Copias Tamaño Carta (hojas Blancas Individual),1.5,0.23,1.27
13,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,COPIA CREDENCIAL,2.0,0.22,1.78
14,Caja 1,admin,0,2024-02-21,Wednesday,0.37,Queso Fresco,40.0,32.22,7.78
15,Caja 1,admin,0,2024-02-21,Wednesday,0.64,Queso De Hebra,80.0,67.84,12.16
15,Caja 1,admin,0,2024-02-21,Wednesday,0.37,Queso Fresco,40.0,32.22,7.78
16,Caja 1,admin,0,2024-02-21,Wednesday,2.0,Mariposa Negro 601,50.0,34.0,16.0
17,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Tang De Jamaica 25gm,6.0,4.63,1.37
18,Caja Icsi,JENNY,0,2024-02-21,Wednesday,4.0,COPIA CREDENCIAL,8.0,0.88,7.12
19,Caja 1,admin,0,2024-02-21,Wednesday,2.0,Servicio Domicilio,10.0,0.0,10.0
19,Caja 1,admin,0,2024-02-21,Wednesday,1.0,COCA COLA 2.5LT RET PAQ 8PZ,245.0,221.18,23.82
19,Caja 1,admin,0,2024-02-21,Wednesday,1.0,COCA RETORNABLE 3LTS PAQ 6PZA,197.0,186.23,10.77
20,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Yoghurt Yoplait Piña Coco 330gr 9111,17.5,14.0,3.5
20,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Sponch 120gr,22.0,17.64,4.36
21,Caja 1,admin,0,2024-02-21,Wednesday,6.0,Huevo Crio Individual 1pza,18.0,11.82,6.18
21,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Marias Gamesa 1pz,16.0,12.2,3.8
22,Caja Icsi,admin,0,2024-02-21,Wednesday,1050.0,MASTERXTREME MAYOREO RECARGA,997.5,976.5,21.0
23,Caja Icsi,admin,0,2024-02-21,Wednesday,1575.0,MASTERXTREME MAYOREO RECARGA,1496.25,1464.75,31.5
30,Caja Icsi,admin,0,2024-02-21,Wednesday,198.0,Abono Clientes Pay Joy,198.0,194.04,3.96
30,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Comision Pay Joy,15.0,0.01,14.99
24,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Salchicha Pavo 266g 976,25.0,20.0,5.0
25,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Principe Limon +2 126g,20.0,15.96,4.04
26,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Bombon Bianchi Bolsa 420g,38.0,33.07,4.93
27,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Servicio Domicilio,5.0,0.0,5.0
27,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,COCA RETORNABLE 3LTS PAQ 6PZA,197.0,186.23,10.77
28,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Espagueti 200 gr,9.0,6.65,2.35
28,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Mediacrema Lala 250g,14.0,12.14,1.86
28,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Pure De Tomate Del Fuerte 345g,16.0,11.2,4.8
29,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Ensueño Max 850 ml Fresc Primaveral,26.0,19.0,7.0
31,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Cuchara Sopera Grande,15.0,9.76,5.24
31,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Plato Largo Convermex 855,26.0,18.54,7.46
32,Caja 1,wendy,0,2024-02-21,Wednesday,0.5,Arroz 1kg,10.5,9.04,1.46
32,Caja 1,wendy,0,2024-02-21,Wednesday,5.0,Canela Sobre,30.0,7.7,22.3
33,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Fresca Jumbo 3lts,38.0,31.17,6.83
33,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Cerillo Flama Grande,7.0,5.3,1.7
33,Caja 1,wendy,0,2024-02-21,Wednesday,3.0,Vaso Individual del #8 1pza,3.0,1.2,1.8
34,Caja 1,wendy,0,2024-02-21,Wednesday,0.24,Queso De Hebra,30.0,25.44,4.56
35,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Runners Fuego 62g,12.0,10.08,1.92
36,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Pepsi Jumbo 3Lt,37.0,27.67,9.33
36,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Emperador Piruetas 115g 101112,19.0,15.25,3.75
37,Caja 1,wendy,0,2024-02-21,Wednesday,5.0,Huevo Crio Individual 1pza,15.0,9.85,5.15
37,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Yoghurt Placer Cookies & Cream 220g 9594,16.0,13.0,3.0
38,Caja 1,wendy,0,2024-02-21,Wednesday,4.0,Bombon Individual,4.0,3.36,0.64
39,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Vick Vaporub 12g,24.0,20.71,3.29
40,Caja 1,wendy,0,2024-02-21,Wednesday,5.0,Bombon Individual,5.0,4.2,0.8
41,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Leche Nito Bebida Chocolate 236G,13.0,10.66,2.34
41,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Maravillas Gamesa 116g,18.0,15.25,2.75
42,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Raidolito Verde 1par pza Indiv.,5.0,3.76,1.24
43,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Bubbaloo Mora Azul 5.1gr,1.5,0.89,0.61
44,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Coca Cola Vidrio 1 1/4,24.0,19.87,4.13
44,Caja 1,wendy,0,2024-02-21,Wednesday,2.0,Vaso Individual del #8 1pza,2.0,0.8,1.2
45,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Pan Molido Crujiente 175g,28.0,22.96,5.04
45,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,HUEVO CRIO 1/2 CONO,32.0,29.58,2.42
45,Caja 1,wendy,0,2024-02-21,Wednesday,0.5,Harina Selecta 1kg,11.0,8.41,2.59
45,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Paleta cupido vero fresa,3.0,1.75,1.25
46,Caja 1,wendy,0,2024-02-21,Wednesday,4.0,Huevo Crio Individual 1pza,12.0,7.88,4.12
47,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Coca Cola 600ml,19.0,15.2,3.8
48,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Yogurth Yoplait Fresa 470gr 9757,23.0,19.0,4.0
48,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Paleta cupido vero fresa,3.0,1.75,1.25
49,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Servicio Domicilio,5.0,0.0,5.0
49,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,COCA RETORNABLE 3LTS PAQ 6PZA,197.0,186.23,10.77
50,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Lala deslactosada 1lit,25.0,22.79,2.21
51,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Coca Retornable 3LTS 3068,38.0,31.04,6.96
52,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Clorets Menta 2.8gr 2Pastillas,1.5,0.68,0.82
52,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,PALETA CUPIDO CHAMOY VERO,3.0,1.97,1.03
53,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Yomi Lala Fresa 190ml,11.0,6.5,4.5
54,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Sabritas Receta Crujiente Flamin Hot 49gr,17.0,13.69,3.31
55,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Coca Retornable 3LTS 3068,38.0,31.04,6.96
55,Caja Icsi,admin,0,2024-02-21,Wednesday,2.0,Vaso Individual del #8 1pza,2.0,0.8,1.2
56,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Sidral Mundet 600ml,18.0,13.57,4.43
56,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Horchata Flor De Tabasco 1 lt,42.0,34.71,7.29
57,Caja 1,wendy,0,2024-02-21,Wednesday,2.0,Cafezzino Plus (cafe Omnilife) sobre,36.0,24.42,11.58
58,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Copias Tamaño Carta (hojas Blancas Individual),1.5,0.23,1.27
59,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Coca Cola Vidrio 1 1/4,24.0,19.87,4.13
60,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,disfruta chocogalleta platano 307g,22.0,17.5,4.5
62,Caja 1,wendy,0,2024-02-21,Wednesday,6.0,Bombon Individual,6.0,5.04,0.96
61,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,CORN GT30 355118550000716 TAVO 050224,549.0,399.0,150.0
63,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Caja Vacia De Huevo,6.0,0.0,6.0
63,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Barritas Fresa Mas Galleta 75g,17.0,13.44,3.56
64,Caja 1,wendy,0,2024-02-21,Wednesday,7.0,Huevo Crio Individual 1pza,21.0,13.79,7.21
64,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,VOGUE 400HJ PAQ 4PZAS,30.0,23.04,6.96
65,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,IMPRESION BLANCO Y NEGRO,3.0,0.22,2.78
66,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Fideo #2 La Moderna,9.0,6.55,2.45
66,Caja 1,wendy,0,2024-02-21,Wednesday,0.32,Queso De Hebra,40.0,33.92,6.08
67,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Ajo 1pza,7.0,3.6,3.4
67,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Jamaica bolsa 100gr,21.0,13.2,7.8
67,Caja 1,wendy,0,2024-02-21,Wednesday,0.24,Chuleta Aumada Salmi,35.28,26.88,8.4
67,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Vive 100 Guarana 300ml,14.0,10.0,4.0
67,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Avena Quaker 3min 288gr,20.0,17.17,2.83
68,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Fabuloso 500g Lavanda,19.0,14.79,4.21
68,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Leche Nito Bebida Chocolate 236G,13.0,10.66,2.34
69,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Sponch 120gr,22.0,17.64,4.36
70,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Halls De Miel,8.0,6.42,1.58
71,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Bubba Xtreme Picamix Fuego 1Paleta,5.0,3.45,1.55
71,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Bubbaloo Paleta Xtreme Mora 1Pz,5.0,3.45,1.55
72,Caja 1,wendy,0,2024-02-21,Wednesday,0.5,Queso Fresco,54.0,43.5,10.5
73,Caja 1,wendy,0,2024-02-21,Wednesday,0.4,Queso De Hebra,50.0,42.4,7.6
74,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Rebanadas Bimbo,8.0,6.56,1.44
75,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Garnier Tinte Nutrisse Fresa 5562,55.0,40.0,15.0
76,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Bubbaloo Paleta Xtreme Mora 1Pz,5.0,3.45,1.55
77,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Clorets Plus 4pastillas,3.0,1.98,1.02
78,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Power Frutas 1 Lt 317660,31.0,21.96,9.04
79,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Salsa Valentina 370g,19.0,13.9,5.1
80,Caja 1,wendy,0,2024-02-21,Wednesday,0.5,Arroz 1kg,10.5,9.04,1.46
80,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Princesa En Barra 350gr,14.5,12.21,2.29
81,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Pepsi 1.5Lt,23.0,18.48,4.52
82,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Chips Fuego 46g,17.0,14.28,2.72
83,Caja 1,admin,0,2024-02-21,Wednesday,4.0,Huevo Crio Individual 1pza,12.0,7.88,4.12
84,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Huevo Crio Individual 1pza,3.0,1.97,1.03
85,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Tostitos Salsa Verde 70g,16.0,12.84,3.16
86,Caja 1,admin,0,2024-02-21,Wednesday,2.0,Fibra Scotch Brite Gigante,40.0,32.18,7.82
87,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Fanta Fresa 600ml,18.0,13.57,4.43
88,Caja 1,admin,0,2024-02-21,Wednesday,2.0,Cigarro Marlboro Individual 1Pza,12.0,7.44,4.56
89,Caja 1,admin,0,2024-02-21,Wednesday,0.24,Queso De Hebra,30.0,25.44,4.56
90,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Valle Frut Citrus 600ML 330683,16.0,14.92,1.08
90,Caja 1,admin,0,2024-02-21,Wednesday,0.28,Queso Fresco,30.0,24.17,5.83
91,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Servicio Domicilio,5.0,0.0,5.0
91,Caja 1,admin,0,2024-02-21,Wednesday,1.0,COCA COLA 600ML PAQ 24PZ,382.0,364.7,17.3
92,Caja 1,admin,0,2024-02-21,Wednesday,0.24,Queso De Hebra,30.0,25.44,4.56
93,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Mini Chokis 43g,10.0,8.48,1.52
93,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Concha vainilla 1pz 60g,11.0,8.2,2.8
94,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Nokia 110 290124 KIT,549.0,330.0,219.0
95,Caja 1,admin,0,2024-02-21,Wednesday,0.5,Queso Fresco,54.0,43.5,10.5
95,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Submarinos Chocolate,22.0,16.41,5.59
95,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Valle Frut Citrus 3lt,36.0,29.11,6.89
95,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Principe Chocolate Blanco+2,22.0,16.8,5.2
96,Caja 1,admin,0,2024-02-21,Wednesday,0.4,Queso De Hebra,50.0,42.4,7.6
96,Caja 1,admin,0,2024-02-21,Wednesday,0.46,Queso Fresco,50.0,40.28,9.72
97,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Coca Cola 600ml,19.0,15.2,3.8
97,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Premier Higienico 425 Hjs,31.0,24.91,6.09
97,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Nito 1Pza 62g,15.0,12.45,2.55
98,Caja 1,wendy,0,2024-02-21,Wednesday,2.0,Servicio Domicilio,10.0,0.0,10.0
98,Caja 1,wendy,0,2024-02-21,Wednesday,2.0,COCA COLA 2.5LT RET PAQ 8PZ,490.0,468.0,22.0
99,Caja 1,wendy,0,2024-02-21,Wednesday,0.23,Jamon Rebanado Suly 1kg,15.0,12.69,2.31
100,Caja 1,wendy,0,2024-02-21,Wednesday,1.0,Prestobarba Permasharp,10.0,7.15,2.85
101,Caja 1,wendy,0,2024-02-21,Wednesday,4.0,Envios De Recargas,4.0,0.04,3.96
101,Caja 1,wendy,0,2024-02-21,Wednesday,180.0,RECARGAS XTREME (MULTICEL-MINISUPER),180.0,171.0,9.0
102,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Mouse Optico Inalambrico Vorago 102,170.0,84.17,85.83
103,Caja 1,lizeth,0,2024-02-21,Wednesday,2.0,Chips Fuego 46g,34.0,28.56,5.44
104,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Coca Cola Vidrio 1 1/4,24.0,19.87,4.13
105,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Coca Retornable 3LTS 3068,37.05,31.04,6.01
106,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Mediacrema Lala 480ml,26.0,21.99,4.01
106,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Sidral Munded Jumbo 3 Lts,38.0,31.17,6.83
106,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Chile Chipotle Morena 100gr,15.0,12.7,2.3
106,Caja 1,admin,0,2024-02-21,Wednesday,0.61,Salchijocho Pavo Any Agranel,30.0,20.72,9.28
108,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Valle Frut Citrus 2 Litros 330461,30.0,20.51,9.49
107,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Turbo Cargador V8 Negro 1Hora 7503027214007,100.0,39.0,61.0
107,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Cable USB2.0 V8 1HORA,50.0,21.0,29.0
109,Caja 1,admin,0,2024-02-21,Wednesday,4.0,HUEVO CRIO CONO 30PZ,256.0,236.64,19.36
110,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Activia Ciruela Pasa 250g,16.0,14.13,1.87
110,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Yoplait Licuado De Fresa 470gm 9534,24.0,20.0,4.0
111,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Hielo Individual,5.0,2.5,2.5
112,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Panquecito Gotitas Chocolate 2pza 140g,23.0,18.04,4.96
113,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Senwa Disco S301A 290124 KIT,419.0,215.0,204.0
114,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Agua Ciel 1.5 Lts 4721,16.0,12.04,3.96
115,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Cable USB2.0 V8 1HORA,50.0,21.0,29.0
116,Caja 1,admin,0,2024-02-21,Wednesday,1.0,Pepsi 1.5Lt,23.0,18.48,4.52
117,Caja 1,lizeth,0,2024-02-21,Wednesday,3.0,Clorets Menta 2.8gr 2Pastillas,4.5,2.04,2.46
118,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Tostitos Salsa Verde 70g,16.0,12.84,3.16
119,Caja Icsi,admin,0,2024-02-21,Wednesday,5.0,Copias Tamaño Carta (hojas Blancas Individual),7.5,1.15,6.35
119,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,COPIA CREDENCIAL,2.0,0.22,1.78
120,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Totopos 280G Normal,32.0,24.6,7.4
121,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Sabritas Flamin Hot 45gm,17.0,13.69,3.31
122,Caja Icsi,admin,0,2024-02-21,Wednesday,1.0,Yoplait Griego Sin Azucar 220g 9529,11.5,9.7,1.8
123,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Mini Barritas Piña Tubo 222g,33.0,26.04,6.96
124,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Halls extra Strong 25gr 4401,8.0,6.08,1.92
124,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Halls Sabor Mora Azul,8.0,6.08,1.92
125,Caja 1,lizeth,0,2024-02-21,Wednesday,3.0,COPIA CREDENCIAL,6.0,0.66,5.34
126,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Barritas Fresa Mas Galleta 75g,17.0,13.44,3.56
126,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Paleta cupido vero fresa,3.0,1.75,1.25
127,Caja 1,lizeth,0,2024-02-21,Wednesday,0.48,Queso De Hebra,60.0,51.19,8.81
128,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Sidral Munded Jumbo 3 Lts,38.0,31.17,6.83
128,Caja 1,lizeth,0,2024-02-21,Wednesday,2.0,Paleta Cupido Chamoy Individual 1pz,3.0,2.0,1.0
128,Caja 1,lizeth,0,2024-02-21,Wednesday,5.0,Paleta cupido vero fresa,15.0,8.75,6.25
129,Caja Icsi,admin,0,2024-02-21,Wednesday,12.0,Envios De Recargas,12.0,0.12,11.88
129,Caja Icsi,admin,0,2024-02-21,Wednesday,555.0,ICSI Recargas Xtreme,555.0,527.25,27.75
130,Caja 1,lizeth,0,2024-02-21,Wednesday,2.0,Paleta cupido vero fresa,6.0,3.5,2.5
131,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Concha vainilla 1pz 60g,11.0,8.2,2.8
132,Caja 1,lizeth,0,2024-02-21,Wednesday,0.19,Queso Fresco,20.0,16.11,3.89
133,Caja 1,lizeth,0,2024-02-21,Wednesday,0.23,Jamon Rebanado Suly 1kg,15.0,12.69,2.31
134,Caja 1,lizeth,0,2024-02-21,Wednesday,2.0,Pila Rayovac Doble AA 1pz,22.0,15.8,6.2
134,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Pila Rayovac Triple AAA par,22.0,9.74,12.26
134,Caja 1,lizeth,0,2024-02-21,Wednesday,2.0,Totopos 280G Normal,64.0,49.2,14.8
134,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Bolsa individual Naylo Gde 1pz,3.0,1.06,1.94
135,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,CIGARROS MARLBORO ROJO CORTOS 20PZ,81.0,72.54,8.46
136,Caja 1,lizeth,0,2024-02-21,Wednesday,0.15,Jamon Rebanado Suly 1kg,10.0,8.46,1.54
136,Caja 1,lizeth,0,2024-02-21,Wednesday,0.5,Queso De Hebra,62.5,53.32,9.18
137,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Sabritas Sal Original 45g,17.0,13.69,3.31
138,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Valle Frut Citrus 600ML 330683,16.0,14.92,1.08
138,Caja 1,lizeth,0,2024-02-21,Wednesday,6.0,Yomi Chocolate 190ml,48.0,39.0,9.0
139,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Elite Higienico Mediano 300 Hjs,25.0,20.44,4.56
140,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Envios De Recargas,1.0,0.01,0.99
140,Caja 1,lizeth,0,2024-02-21,Wednesday,50.0,RECARGAS XTREME (MULTICEL-MINISUPER),50.0,47.5,2.5
141,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Frijoles Refritos La Sierra 440g,16.0,11.2,4.8
141,Caja 1,lizeth,0,2024-02-21,Wednesday,3.0,Huevo Crio Individual 1pza,9.0,5.91,3.09
141,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Pan Molido Bimbo Clasico 210g,28.0,23.24,4.76
141,Caja 1,lizeth,0,2024-02-21,Wednesday,0.46,Jamon Rebanado Suly 1kg,30.0,25.38,4.62
141,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,QUESO CASTEL PAQ 10PZA,13.0,9.65,3.35
141,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Aceite Purela Soya 800ml,36.0,29.66,6.34
142,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,chips fuego 62g,20.0,15.56,4.44
143,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Harina Selecta 1kg,22.0,16.81,5.19
144,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Power Mora 1 Lt,31.0,21.96,9.04
145,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Concha vainilla 1pz 60g,11.0,8.2,2.8
146,Caja 1,lizeth,0,2024-02-21,Wednesday,0.24,Queso De Hebra,30.0,25.59,4.41
146,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Tortillina Del Hogar 220 g,18.0,14.76,3.24
147,Caja 1,lizeth,0,2024-02-21,Wednesday,1050.0,MASTERXTREME MAYOREO RECARGA,997.5,976.5,21.0
148,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Fanta Jumbo Fresa 3lts,38.0,31.17,6.83
149,Caja 1,lizeth,0,2024-02-21,Wednesday,1050.0,MASTERXTREME MAYOREO RECARGA,997.5,976.5,21.0
150,Caja 1,lizeth,0,2024-02-21,Wednesday,0.5,Azucar 1 Kg,13.0,11.17,1.83
150,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Nutrileche 1pza,20.0,17.79,2.21
151,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Leche Nito Bebida Chocolate 236G,13.0,10.66,2.34
151,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Nito 1Pza 62g,15.0,12.45,2.55
152,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Doritos Nacho 61gr,17.0,13.69,3.31
153,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Jumex Nectar de Uva 1 lt,26.0,20.58,5.42
154,Caja 1,lizeth,0,2024-02-21,Wednesday,0.15,Jamon Rebanado Suly 1kg,10.0,8.46,1.54
155,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Leche Clavel 356ml,22.0,17.54,4.46
156,Caja 1,lizeth,0,2024-02-21,Wednesday,2.0,Atun Nair En Agua 140g,30.0,21.58,8.42
156,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Elote Herdez 225g,15.0,9.75,5.25
156,Caja 1,lizeth,0,2024-02-21,Wednesday,1.0,Mayonesa #4 105g,18.0,15.9,2.1
